indice,nombre,tipo_producto,tipo_ia,tipo_discapacidad,usabilidad_score,robustez_score,operabilidad_score,puntuacion_global
38,Deepseek,"Asistentes conversacionales, Software de comunicación asistiva, Generadores automáticos de descripciones de imágenes","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz, Visión por computadora","Cognitiva, Visual",5.0,3.6666666666666665,5.0,4.6
28,Grid,"Software de comunicación asistiva, Dispositivos asistivos inteligentes, Teclados virtuales predictivos, Lectores de pantalla avanzados","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz","Cognitiva, Motora",5.0,4.333333333333333,4.0,4.5
1,Chat GPT,"Asistentes conversacionales, Herramientas de simplificación de texto, Asistentes por voz","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz","Visual, Cognitiva, Motora",4.333333333333333,5.0,4.0,4.43
3,Gemini 2.0,"Asistentes conversacionales, Generadores automáticos de descripciones de imágenes, Asistentes por voz, Herramientas de simplificación de texto","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz, Visión por computadora","Visual, Cognitiva",4.333333333333333,5.0,4.0,4.43
5,Google Assistant,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Motora, Visual, Cognitiva",5.0,5.0,3.0,4.4
39,Otter.ai,"Sistemas de subtitulado automático, Herramientas de simplificación de texto","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz",Auditiva,5.0,3.0,4.0,4.1
34,JAWS,"Lectores de pantalla avanzados, Software de comunicación asistiva","Síntesis de voz, Procesamiento de Lenguaje Natural",Visual,5.0,3.0,4.0,4.1
26,Tecla,"Dispositivos asistivos inteligentes, Control de cursor alternativo","Motion tracking, Reconocimiento gestual","Motora, Cognitiva",5.0,4.333333333333333,1.5,3.75
40,AVA,Sistemas de subtitulado automático,"Procesamiento de Lenguaje Natural, Síntesis de voz",Auditiva,5.0,4.333333333333333,1.5,3.75
23,WAVE,"Herramientas de simplificación de texto, Dispositivos asistivos inteligentes","Procesamiento de Lenguaje Natural, Visión por computadora",Visual,4.333333333333333,5.0,1.5,3.68
