indice,nombre,tipo_producto,tipo_ia,tipo_discapacidad,precision,precision_num,sensibilidad,sensibilidad_num,tiempo_respuesta,tiempo_respuesta_num,multidispositivo_num,multi_navegador_num,multi_os_num,nav_teclado,nav_teclado_num,comandos_voz,comandos_voz_num,usabilidad_score,robustez_score,operabilidad_score
1,Chat GPT,"Asistentes conversacionales, Herramientas de simplificación de texto, Asistentes por voz","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz","Visual, Cognitiva, Motora",Alta,5,Alta,5,Moderado,3,5,5,5,Parcial,3,Sí,5,4.333333333333333,5.0,4.0
2,Microsoft Copilot (anteriormente Bing Chat),"Asistentes conversacionales, Herramientas de simplificación de texto, Asistentes por voz, Generadores automáticos de descripciones de imágenes","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz, Visión por computadora","Cognitiva, Visual",Media,3,Alta,5,Moderado,3,5,3,3,Parcial,3,Parcial,3,3.6666666666666665,3.6666666666666665,3.0
3,Gemini 2.0,"Asistentes conversacionales, Generadores automáticos de descripciones de imágenes, Asistentes por voz, Herramientas de simplificación de texto","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz, Visión por computadora","Visual, Cognitiva",Alta,5,Alta,5,Moderado,3,5,5,5,Parcial,3,Sí,5,4.333333333333333,5.0,4.0
4,Alexa,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Visual, Motora, Cognitiva",Media,3,Alta,5,Rápido,5,5,1,3,No compatible,0,Sí,5,4.333333333333333,3.0,2.5
5,Google Assistant,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Motora, Visual, Cognitiva",Alta,5,Alta,5,Rápido,5,5,5,5,Parcial,3,Parcial,3,5.0,5.0,3.0
6,Siri,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Motora, Visual, Cognitiva",Media,3,Alta,5,Moderado,3,1,1,1,Parcial,3,Sí,5,3.6666666666666665,1.0,4.0
7,Neuralink,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Procesamiento de Lenguaje Natural, Motion tracking",Motora,Alta,5,Alta,5,Rápido,5,5,1,5,No compatible,0,No,0,5.0,3.6666666666666665,0.0
8,BrainGate,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking",Motora,Alta,5,Alta,5,Moderado,3,5,1,3,No compatible,0,No,0,4.333333333333333,3.0,0.0
9,NextMind,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes",Análisis de EEG,"Motora, Cognitiva",Media,3,Media,3,Moderado,3,5,1,3,No compatible,0,No,0,3.0,3.0,0.0
10,CTRL-labs (Meta),"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking, Reconocimiento gestual",Motora,Alta,5,Alta,5,Rápido,5,5,1,3,No compatible,0,No,0,5.0,3.0,0.0
11,OpenBCI (con la plataforma Galea),"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking, Retroalimentación háptica inteligente","Motora, Cognitiva",Alta,5,Alta,5,Moderado,3,5,1,3,No compatible,0,No,0,4.333333333333333,3.0,0.0
12,Emotiv,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",Media,3,Media,3,Moderado,3,5,1,5,No compatible,0,No,0,3.0,3.6666666666666665,0.0
13,Neurable,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",Media,3,Media,3,Rápido,5,5,1,3,No compatible,0,No,0,3.6666666666666665,3.0,0.0
14,Tobii Dynavox,"Seguimiento ocular, Software de comunicación asistiva, Control de cursor alternativo, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural",Motora,Alta,5,Alta,5,Rápido,5,5,1,1,No compatible,0,No,0,5.0,2.3333333333333335,0.0
15,EyeSpeak,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural","Motora, Visual",Media,3,Media,3,Moderado,3,1,1,1,Parcial,3,No,0,3.0,1.0,1.5
16,Enable Viacam (eViacam),"Control de cursor alternativo, Dispositivos asistivos inteligentes","Visión por computadora, Motion tracking",Motora,Media,3,Media,3,Moderado,3,5,5,5,Parcial,3,No,0,3.0,5.0,1.5
17,Sesame Phone,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Visión por computadora, Motion tracking",Motora,Media,3,Alta,5,Moderado,3,1,1,1,Parcial,3,No,0,3.6666666666666665,1.0,1.5
18,GazeSpeak (Microsoft),"Software de comunicación asistiva, Seguimiento ocular","Eye-tracking, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Media,3,Media,3,Moderado,3,1,1,1,Parcial,3,No,0,3.0,1.0,1.5
19,Irisbond,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes, Control de cursor alternativo","Eye-tracking, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Alta,5,Alta,5,Rápido,5,1,1,1,Parcial,3,No,0,5.0,1.0,1.5
20,Accessibility Insights for Web,Herramientas de simplificación de texto,"Procesamiento de Lenguaje Natural, Visión por computadora","Visual, Cognitiva",Alta,5,Alta,5,Moderado,3,1,3,5,Parcial,3,No,0,4.333333333333333,3.0,1.5
21,UserWay Accessibility Widget,Herramientas de simplificación de texto,"Síntesis de voz, Procesamiento de Lenguaje Natural, Visión por computadora","Visual, Cognitiva",Media,3,Media,3,Rápido,5,5,5,5,Parcial,3,No,0,3.6666666666666665,5.0,1.5
22,Voice Control for Browser,"Navegación por voz, Control de cursor alternativo, Dispositivos asistivos inteligentes","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Media,3,Media,3,Moderado,3,5,1,5,No compatible,0,Sí,5,3.0,3.6666666666666665,2.5
23,WAVE,"Herramientas de simplificación de texto, Dispositivos asistivos inteligentes","Procesamiento de Lenguaje Natural, Visión por computadora",Visual,Alta,5,Alta,5,Moderado,3,5,5,5,Parcial,3,No,0,4.333333333333333,5.0,1.5
24,Voiceitt,"Reconocimiento de voz, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz","Cognitiva, Motora, Auditiva",Alta,5,Alta,5,Moderado,3,5,5,1,No compatible,0,Sí,5,4.333333333333333,3.6666666666666665,2.5
