PLANILLA DE COSTOS PROYECTOS SIA (SUBDIRECCI脫N DE INVESTIGACI脫N APLICADA [EX FONDEF]) Concurso FONIS 2026;;;;
;;;;
IDENTIFICACI脫N;DETALLE;;Para postular s贸lo debe completar las hojas: ANTECEDENTES y DETALLE DE GASTOS;
CODIGO PROYECTO (ID) ;;;;
PLAZO EN MESES;24;;;
DIRECTOR(A);Erwin Robert Aguirre Villalobos;;;
BENEFICIARIA PRINCIPAL;Universidad Tecnol贸gica Metropolitana (UTEM);;;
BENEFICIARIAS SECUNDARIAS;-;;;
ENTIDADES ASOCIADAS (obligatoria);Fundaci贸n Comunidad;;;
;;;;
PRESUPUESTOS;SEG脷N CARTAS Y PLATAFORMA;SEG脷N PLANILLA DE COSTOS;;Revise cuidadosamente que los montos de las cartas de compromiso y los montos ingresados en plataforma de postulaci贸n correspondan con lo declarado en este documento. No pueden haber diferencias.
PRESUPUESTO APORTE ANID;72000000;72000000;Validado;
"PRESUPUESTO APORTE INSTITUCIONAL (SEG脷N CARTAS Y PLATAFORMA: Digite el monto total comprometido por las beneficiarias seg鷑 cartas de compromiso.
Los proyectos deber醤 ser cofinanciados por la(s) Instituci髇(es) Beneficiaria(s) a lo menos en un 10% del monto solicitado como subsidio a la ANID.)";89280000;89280000;Validado;
